SNO,SENDER_MAIL,CATEGORY,STATUS,SUBJECT,CONTENT
35,jobs@naukri.com,I,S,"Walk-in | Urgent Requirement - Inbound Customer Service Executives (Hinduja BPO) - Majorly Day Shifts
","May7Tue
Walk-in | Urgent Requirement - Inboun…
When Tue May 7 4am – Sat May 11, 2019 12:30pm (UTC)
Where .
Who Hinduja Global Solutions Limited *
The sender of this email is registered with Naukri.com as Hinduja Global Solutions Limited company. To respond back directly to the Employer, please click on Reply button, or send an email to Deepak.k@teamhgs.com
Do Not forward this email, it contains links which allow direct login to your Naukri account.
Experience required for the Job: 0 - 2 years
Annual Salary of the Job: 2.00 - 3.00 Lacs - ++ Attractive Incentives & Perks
Job Location: Noida
Walkin Date & Time : 07 May 19 - 11 May 19, 09:30 AM - 06:00 PM
Interview Location :  .
HGS (Hinduja Global Solutions)
B-38, C/4, Sector-57, Noida, Near AIrtel Office
* Undergraduates Can Apply
** Btech Can Also Apply
Dear, 
Your resume has been shortlisted for a position with our organization Hinduja Global Solutions (Hinduja Group) for the positions of Customer Relationship Officer.
NO FEES / NO CHARGES DIRECT INTERVIEW CALL FROM HGS
Undergraduates & Btech Students Can Also Apply
COMPANY PROFILE:=
The Hinduja Group is a global conglomerate company headquartered in London, United Kingdom with a $ 25 Billion Turnover.
With operations across 37 countries with 70,000 employees worldwide
Hinduja Global Solutions part of Hinduja Group with an annual turnover of $450m conglomerate
Delivery presence in USA, Canada, UK, Colombia, Jamaica, France, Germany, Netherlands, Italy, India and Philippines.
***Job Opportunity In Customer Service In ""BANKING & TELECOM"" Domain.
WALK-IN INTERVIEW DATE :-
Tuesday (7 May) to Saturday (11 May)
Salary : 2.5LPA to 3.0 LPA + Attractive Incentives & Perks
Desired Profile:-
We are looking for candidates who have good communications skills, interpersonal skills and can handle stress well.
The candidate should possess good listening skills, and the ability to think quickly, to make a recommendation or solution to the customer's problem.
A clear and pleasant speaking voice and fluency in English is also desired. The major skills and competencies that employers look for in a candidate are:
If you are a graduate in any stream
Good communications skills
Ability to listen and active problem solving skills
Good interpersonal skills
Basic Computer knowledge
If you are a Freshers/ Experienced work with us
Age Limit: 18 Years 32 Years
Contact for telephonic interviews:-
Kritika - 8377963853      /    Isha - 8630832833     /     Manika - 9599927925 
Number Of. Open Vacancies - 500
(Pls get your friends along)
Time 11:00 AM 4 PM
Venue
B-38, C/4, Sector-57, Noida, Near Airtel Office
IMP POINTS TO CONSIDER:-
1. FOR OUTSTATION CANDIDATS FIRST TWO ROUNDS CAN BE TELEPHINIC ROUNDS AND THE FINAL PHASE WILL BE AT THE HGS NOIDA OFFICE.
2. **DIRECT MAIL FROM COMPANY - HINDUJA GROUP NO FEE / NO CHARGES
3. **SALARY 2.5LPA TO 3 LPA + Incentives + Free Medical Insurance For Family + Free Transport
Regards"
36,jobs@aspiringminds.in,I,S,Reminder | AMCAT | Shortlisted @ Togglebyte Technologies | Job Opportunity with Togglebyte Technologies for Marketing Executive,"Apr 19, 2019 
Congratulations  !   We are glad to inform you that based on your AMCAT Score, you have been shortlisted for a Job Opportunity with Togglebyte Technologies  !  
Job Profile:Job Opportunity with Togglebyte Technologies for Marketing Executive
Job Location:Mumbai
To APPLY or know more about this opportunity, click here
Last date to register 20-04-2019 by 5:00pm. Hurry  !  
Always committed in seeking deserving job opportunities for you.
Regards,
Team – Aspiring Minds"
37,lotusjobgroup@gmail.com,I,S,Regarding job,"Welcome to LOTUS JOB POINT   !    !    !  
Fresher Mechanical,Electrical,Eletronics Candidates can apply
Urgent Opening for GET & DET 
Salary -- 13500 TO 15000/- per month
Facility - Canteen + Medical+ Dress + Over Time + bus+(Sunday off)aaa
6 month after co. increase your salary - 14500 to 16500 
Location - IMT manesar, gurgaon.
Job profile :- production , quality checking & maintenance
PREETI: 9958381534
NOTE :- 
If you are interested then call me.
If u have any Query regarding Company or Job role then Contact Us.
Whenever u come here before call us in 9am to 6pm.
we are also provide direct Selection & same day 
ADDRESS:-
LOTUS JOB POINT
OFFICE NO.310, 3rd floor,Radha Place, Gurudwara Road, opp. Kamla Nehru park,civil line
Gurgaon ( 122001) Haryana.
LANDMARK:-Gurudwara
PREEIT: 9958381534
E-mail id:- lotusjobgroup@gmail.com
MUST HAVE:
6 Photo, 1 Id photo, All study Documents. C.v 
Hi, I am interested.Thank you for your mail.Thanks for the mail."
38,info@jobsinfinance.in,I,S,Work mail for engineers,"Hi,
TCS has sent you a work mail.
Date:  10-Dec-2018
""Dear Candidate, We are hiring BE/ BTech/ MCA graduates for the position of Engineer""
Regards,
Divya | Team HR"
39,jobs@aspiringminds.in,I,S,Reminder | AMCAT | Shortlisted @ Baymediasoft Technologies | Content Writer,"Congratulations  !   We are glad to inform you that based on your AMCAT Score, you have been shortlisted for a Job Opportunity with Baymediasoft Technologies  !  
Job Profile:Job Opportunity with Baymediasoft Technologies for Content Writer
Job Location:Udaipur
To APPLY or know more about this opportunity, click here
Last date to register 13-11-2018 by 5:00pm. Hurry  !  
Always committed in seeking deserving job opportunities for you.
Regards,
Team – Aspiring Minds"
40,reminders@study.shawacademy.com,S,U,Your sixth class starts in 24 hours  !  ,"Shaw Academy
This is your 24 hour reminder Join class at 2PM    

Your sixth class for your Advanced in Graphic Design begins at 2PM. Click the button above to attend your Advanced In Graphic Design class  !   If you cannot attend, make sure you reschedule here.  Join class at 2PM    
Find out what students like you think of Shaw Academy  !  
Rating Girl
Huseyin Torgut
Easy to follow and informative…
Easy to follow and informative throughout. Great way to acquire new skills  !  
Download now & start learning  !  
Your future, your way."
41,contest@techgig.com,S,U,Goodbye 2020  !  ,"Hi ,
As you say goodbye to 2020, do not miss out on learnings at Cloud DevJam. Over 85,000 developers have already registered for the program. The activities for this year will conclude on December 31st 2020.
Participate in the Hybrid Architecture With Anthos I MCQ contest today (part of the Hybrid Architecture with Anthos track) and start/ continue your journey.
Participate Now
Total prize pool - INR 13.7+ Lakhs  !  
Other resources -
Dashboard link - e-participation certificate download link
Happy Coding  !  
Team TechGig"
42,kotak811@kotak.in,S,U,Shop Online & Get Rs 250 Gift Voucher,"This message contains graphics. If you do not see the graphics, click here to view.
You can shop online, book tickets or transact on any Ecommerce website / Mobile App to get a Rs 250/- Amazon.in voucher. Just shop for a minimum of Rs.  2,000 and simply pay using Kotak Net Banking (use MPIN as password) or your Virtual Debit Card (available in your Kotak 811 App). Offer ends on 31-12-2020. Hurry, Shop Now  !  
Shop. Eat. Travel. Repeat.
Plan your travel at ease and enjoy amazing offers
Shop online and save big using Kotak Cards
Watch movies and book tickets with exciting offers
Order your favourite food online and avail discounts
Make the most of your #DreamDifferent Debit Card
Start your Kotak 811 journey with some good online shopping. Click the below Deposit Now button to deposit money in your account using any Bank's Net Banking or Debit Card."
43,reminders@study.shawacademy.com,S,U,Your fifth class starts in 1 hours  !  ,"Shaw Academy
This is your 1 hour reminder Join class at 2PM    
Your fifth class for your Advanced in Graphic Design begins at 2PM. Click the button above to attend your Advanced In Graphic Design class  !   If you cannot attend, make sure you reschedule here. Join class at 2PM    
Find out what students like you think of Shaw Academy  !  
Rating Girl
Huseyin Torgut
Easy to follow and informative…
Easy to follow and informative throughout. Great way to acquire new skills  !  
Download now & start learning  !  
Your future, your way."
44,kotak811@kotak.in,S,U,"Deposit Rs. 2,000 to Get Rs. 250 Gift Voucher","If you are unable to view the below e-mailer, please click here
Deposit ₹  2,000 or more and
Get an Amazon voucher of ₹  250
It's time to go Woohoo with happiness
Hurry  !   Deposit ₹  2,000 or more in your Kotak 811 Account
until 10-12-2020 to get an
Amazon Voucher worth ₹  250.
Redeem voucher from
Fund your 811 A/C using UPI or NEFT/IMPS
Use your UPI ID to add money to your 811 A/C or create your UPI ID: Click here
Transfer money via NEFT / RTGS from your other bank account. Click here to know your Account Number & IFSC code 
Use any other Bank's Debit Card or Net Banking to add money to your 811 A/C Click here
To know your Customer Relationship Number (CRN), SMS CRN to 9971056767 from your registered mobile number.
To know the steps to reset your MPIN, click here."
45,indialends@em1.indialends.com,S,U,For the WoW Moment in Life,"Whatever is on your list, fulfil with the great Credit Card offeRs. 
Download App
*T&C Apply
Don't forget, checking your credit report improves your chances for better credit offeRs. 
Thanks & Regards
IndiaLends Team
We hope our emails enable you to make better financial decisions. However, if you wish to opt-out, please click here.
Service provided by IndiaLends are free of cost No representative of the company will contact the customers requiring the customer to pay a fee for providing any financial products and/or services"
46,support@workafy.com,S,U,Freelance writing projects for immediate hiring,"Hi, Hope you’re doing well. Clients are looking to hire for following projects immediately:
Writer for LinkedIn Profile - Looking for a writer to draft engaging short posts for a LinkedIn profile. Amonthly recurring work with target of atleast 2 posts a day. Apply Now  !  
Copy figure who can write in English and Arabic - An inbound marketing agency looking for a copy figure who can write copy and blogs in English and Arabic for their customers in the UAE. Click here to Apply.
Want to work on any of these projects  ?   Hurry and send your applications right away before they close. Our team is dedicatedly working with the clients and shall be recommending the best portfolios, so don’t forget to attach your work.
It only takes a minute to apply. All the Best  !  
Thanks & Regards,
Amit
Workafy Support"
47,info@netmedsedm.com,S,U,Netmeds & Amazon Pay presents: Up to 50 % off,"Welcome to Netmeds - If you cannot view this email, click here to view it in your browser.
72007-12345Medicine |  Ayush |  Diagnostic |  Wellness |  Health Corner
NOTE: Prescription medicines will be dispensed strictly and only against a valid prescription from a Registered Medical Practitioner
72007-12345  Netmeds  Netmeds  
Copyright 2020 Netmeds Marketplace Limited. All Rights Reserved.
You are receiving this email because you indicated that you wanted to be informed of the latest news and specials from Netmeds.com. If you prefer not to receive future emails from Netmeds.com, please unsubscribe here. Please note when you opt in to receive other Netmeds.com emails, you will continue to receive them unless you opt out specifically for those."
48,contest@techgig.com,S,U,Migrating To Google Cloud II - Have You Submitted Your Answer  ?  ,"Hi , Test your knowledge on Google Cloud. Participate in the Migrating to Google Cloud I MCQ contest today and start your journey to win prizes worth INR 13.7+ Lakhs  !  
Google Cloud brings you a series of activities under the umbrella of Cloud DevJam. See your dashboard here - https://www.techgig.com/googlecloud/dashboard
This contest ends on November 30, 2020. Win upto INR 15,000 with this one.
Participate Now
Participate & Win Prizes worth
INR 13.7 +  Lakhs
Follow us on our LinkedIn page to not miss any update about Cloud DevJam - https://www.linkedin.com/showcase/cloud-devjam
Happy Coding  !  
Team TechGig
TechGig.com
Times Center, FC - 6, Sector 16 A, Film City,
Noida - 201301, Uttar Pradesh, India
Follow Us on
Download App
Note: For your privacy and protection, please do not forward this mail to anyone as it allows you to get automatically logged into your account.
If you do not want to receive this mailer, unsubscribe. To make sure this email is not sent to your ""junk/bulk"" folder,
select ""Add/save to Address Book"" in your email browser and follow the appropriate instructions."
49,reminders@study.shawacademy.com,S,U,Manage your finances effectively  !,"How you manage, spend, and invest your money can have a profound impact on your life, yet very few schools teach these important skills. Learning financial savvy can take a while, but the basics are essential to managing your finances effectively. When you manage your finances well, you have more time to focus on the important things in life.
Our Personal Finance & Household Budgeting Course will show you how to maximize your personal budgets and household finances with professional training from financial experts. Learn how to demystify managing your finances and start planning for a prosperous future.
Students are given real life scenarios to assess what type of spender they are and are provided with practical guidance to set goals and to implement changes. We will teach you how to turn your goals and dreams into a definitive plan and map your income and plan for the future.
Our Financial Planning course will allow you to gain insight into the link between money and happiness. Learn habits for financial success in order to implement them in your own life. You will also gain an understanding of financial planning and be able to assess your own current life stage and identify typical financial needs.
Personal Finance & Household Budgeting Course
Learn how to cut household costs and maximize your personal finances with professional training from financial experts.
Financial Planning"
50,newsletters@shabd-kosh.in,I,U,Xiaomi's 108MP Phone Teased to be Mi 10i.,"Xiaomi's 108MP Phone Teased to be Mi 10i
Xiaomi is all set to introduce the Mi 10i smartphone in India on January 5, 2021, the company has teased via Twitter. It is expected to come as a rebranded version of Redmi Note 9 Pro 5G, and offer a Snapdragon 750G chipset, quad rear cameras, a side-mounted fingerprint reader, and a 120Hz refresh rate.
Here's our roundup."
